Cluster ID,クラスタ名（ラベル）,主な失敗要因・特徴の要約
41,プロジェクトデザイン・モニタリング不備,論理的因果関係の飛躍、不適切な指標設定、モニタリング体制の未構築。
32,組織マネジメント・持続性戦略の欠如,完了後の活動継続に向けた戦略（出口戦略）の不足、関係機間の調整不全。
37,調達・施工プロセスの遅延,入札の不調・再入札、コントラクター選定の遅滞、非現実的な施工工程。
34,機材輸送・通関・調達の停滞,海上輸送の遅延、通関手続きの停滞、機材仕様の選定ミス。
56,維持管理体制・スペアパーツ確保の困難,代理店不在による部品調達難、予算不足による予防保全の未実施。
15,保健・医療分野の体制・人材配置課題,医療従事者の離職・欠員、省庁間の管轄争い、リフレッシャー研修の不足。
55,研修・人材育成の定着と普及の停滞,研修予算の削減、後継者育成計画の不在、習得技術を活かす制度の欠如。
50,技術マニュアル・ソフトコンポーネントの活用不足,マニュアルの形骸化、研修受講者の異動による技術継承の断絶。
31,マスタープラン・上位計画の具体化・資金難,提案事業の資金調達失敗、M/Pの閣議決定や正式承認の遅れ。
54,開発モデルの普及・全国展開の難航,「モデル」概念の共有不足、行政区分割によるリソース分散、普及の仕組み不足。
49,農業普及・農家グループ活動の持続性課題,普及員の予算・車両不足、農家へのインセンティブ欠如、組織化の不徹底。
47,病院運営・医薬品供給の管理・インフラ課題,配送・在庫管理の不備、レファラルシステムの機能不全、電力等の基本インフラ不足。
11,水産分野の商習慣・市場ニーズのミスマッチ,既存の流通慣習の看過、経済的インセンティブの分析不足、施設設計の不適合。
23,水利用・下水道料金の徴収と財務的自立性の不足,料金設定の硬直化、住民の支払い習慣欠如、維持管理費を賄えない収支構造。
25,電力・エネルギー分野の需給・外部コスト要因,燃料価格の高騰、需要予測の乖離、過酷な自然環境への設計不適合。
2,ドナー（JICA）と実施機関の調整・合意形成不備,手続きへの習熟度不足、将来計画に関する合意不足、コミュニケーション不全。
36,追加投入による効率性の低下,成果達成のための専門家追加・期間延長に伴う投入金額の増大。
24,地方行政・住民組織のモニタリング能力不足,地方事務所の人員・予算不足、水利組合等の組織化・技術指導の停滞。
43,森林保全・自然資源管理の権利・制度課題,土地利用権の未確立、違法伐採抑制指標の欠如、住民のモチベーション維持。
9,港湾・物流分野の需要予測・運営体制の不備,貨物需要の過大予測、港湾管理組織（PMB）の設立遅延、競合港との差別化失敗。
20,学校運営・教育行政の予算・維持管理課題,地方政府の予算配分停止、学校運営委員会（COGES等）のフォローアップ不足。
29,外部ドナー依存による財務的持続性の懸念,自前の運営予算確保の失敗、ドナー支援終了に伴う活動縮小。
39,地質・地形・自然条件等の物理的要因,想定外の軟弱地盤、岩盤の出現、台風・洪水による設計変更や工期延伸。
48,農業・養殖の市場アクセス・生産技術の課題,融資条件の厳格さ、安価な輸入物との競争、特定の技術習得の未完了。
14,排水・下水施設の外部環境・不法投棄問題,ゴミの流入による管路閉塞、未処理排水の流出、住民の環境意識の低さ。
3,円借款特有の手続き・金融スキームの課題,ツーステップローンの運用不備、円借款ガイドラインへの不慣れ。
30,カウンターパートの頻繁な異動と技術継承の断絶,行政改革や政変に伴うC/Pの離職、組織内での知識共有体制の不在。
7,灌漑施設の運営・水利費管理の不全,農民による作付面積の過少申告、用地買収の失敗、農業普及員との連携不足。
44,実施機関の財務構造・収支悪化,赤字構造の常態化、人件費・電気代の高騰、徴収率の低迷による資金不足。
21,水源の枯渇・水質悪化・処理技術のミスマッチ,地下水位の低下、不適切な塩素注入、現地技術レベルを超えた設備導入。
38,治安悪化・紛争・政情不安による中断,クーデター、テロ事件、紛争に伴う専門家退避や工事の中断。
10,製氷・冷凍施設の需要予測・維持管理不備,電気代高騰による稼働停止、スペアパーツ入手困難、現地の魚消費習慣の看過。
57,IT・通信・精密機器の仕様不適合・通信環境課題,電圧不安定、通信規格のミスマッチ、IT保守技術の不足。
52,組織的な引継ぎ・ドキュメント管理の不備,業務引継ぎ習慣の欠如、名簿やデータの未更新、知見の個人依存。
8,入札不調・訴訟・承認手続きの遅滞,応札者からの異議申し立て・訴訟、政府内承認プロセスの長期化。
0,日本人専門家の派遣・直接指導の制約,渡航禁止措置、専門家の投入人数不足、遠隔指導の限界。
12,養殖技術の社会実装・バリューチェーンの課題,国際価格の下落、種苗盗難、餌料培養技術の不足、市場展開の検討不足。
40,PDMの論理構成・指標設定の妥当性欠如,定性的な指標設定、外部条件の過小評価、プロジェクト目標の修正漏れ。
16,用地取得・住民移転手続きの難航,地権者との交渉難航、補償金支払いの遅れ、法的・登記上の不備。
5,道路・橋梁の施工品質・維持管理の不徹底,施工不良、過積載車両の取締り不足、アスファルトプラントの欠如。
6,道路維持管理予算の慢性的な不足と体制脆弱性,予算執行率の低迷、管理人員の不足、維持管理用重機の老朽化。
17,外的要因・制度変更に伴う土木事業の停滞,革命・独立等の政変、通関遅延、入札実務の未熟さによる遅滞。
19,配水網の老朽化・漏水・盗水問題,無収水率の高さ、既存管の更新遅れ、水圧不足による24時間給水失敗。
42,公務員定数制限・雇用凍結による人員不足,採用モラトリアム、予算不足による欠員補充の停止、業務過多。
1,国境施設・広域接続性の整備遅滞,相手国側負担事項（税関・検疫所等）の建設遅れ、関連港湾事業の停滞。
46,施設・機材の所有権移転・運営責任の不明確さ,移管手続きの放置、責任分担の合意不足、設計時のニーズ把握ミス。
13,経済的合理性の欠如・コスト負担への抵抗,燃料費高騰によるポンプ不稼働、住民の受益者負担金支払いの拒否。
45,廃棄物管理の組織・制度的基盤の脆弱性,組織改編に伴う所管の不明確化、分別収集の予算未配分、不適切な最終処分。
26,案件形成時の調査・戦略策定の不足,市場動向分析の不足、他事業との連携計画の欠如、相手国能力の過大評価。
18,運用データ・統計情報の管理不全,流量計の故障放置、データ記録の未実施、定量的効果検証の不能。
27,PPP・地熱開発等の制度・法的枠組みの未整備,政策変更、売電契約の承認遅延、民間投資を阻害する規制の存在。
53,教育カリキュラム・教材の公式承認の遅れ,教材の正式認可の遅滞、国家カリキュラム改訂とのズレ、教員配置の不備。
35,活動追加による事業期間・費用の超過,パイロット事業の拡大、終了時評価の提言対応による意図的な延長。
22,地方分権化に伴う混乱とリソース不足,権限委譲に対する地方側の予算・人員不足、中央と地方の連携不全。
33,実施中のスコープ拡大による管理負荷増大,対象地域の拡大要請への対応、追加活動による事業費の膨張。
51,低賃金・待遇不備による専門人材の流出,熟練職員の民間転出、技術者の高齢化と補充停止、技術蓄積の消失。
28,エネルギー政策・市場環境の急変,火力から水力への政策シフト、IPPとの契約上の制約、電力輸入の開始。
4,モータリゼーションの進行と需要予測の乖離,自家用車普及によるバス利用の低迷、渋滞による平均速度の改善失敗。