,Year,freedom_house_score,alpha3,join_flg
0,1990,14,AFG,True
1,1990,13,ALB,True
2,1990,8,DZA,True
3,1990,14,AGO,True
4,1990,5,ATG,True
5,1990,4,ARG,True
10,1990,10,BGD,True
11,1990,2,BRB,True
13,1990,3,BLZ,True
14,1990,10,BEN,True
15,1990,11,BTN,True
16,1990,5,BOL,True
17,1990,3,BWA,True
18,1990,5,BRA,True
20,1990,7,BGR,True
21,1990,11,BFA,True
22,1990,13,BDI,True
23,1990,10,CPV,True
24,1990,14,KHM,True
25,1990,12,CMR,True
29,1990,4,CHL,True
30,1990,14,CHN,True
31,1990,7,COL,True
32,1990,10,COM,True
33,1990,12,COD,True
35,1990,2,CRI,True
36,1990,10,CIV,True
37,1990,14,CUB,True
41,1990,11,DJI,True
42,1990,3,DMA,True
43,1990,5,DOM,True
44,1990,4,ECU,True
45,1990,9,EGY,True
46,1990,7,SLV,True
48,1990,11,SWZ,True
49,1990,14,ETH,True
50,1990,10,FJI,True
53,1990,8,GAB,True
55,1990,11,GHA,True
57,1990,4,GRD,True
58,1990,7,GTM,True
59,1990,11,GIN,True
60,1990,11,GNB,True
61,1990,9,GUY,True
62,1990,8,HTI,True
63,1990,5,HND,True
66,1990,5,IND,True
67,1990,11,IDN,True
68,1990,11,IRN,True
69,1990,14,IRQ,True
73,1990,4,JAM,True
75,1990,10,JOR,True
76,1990,12,KEN,True
77,1990,3,KIR,True
79,1990,13,LAO,True
80,1990,11,LBN,True
81,1990,11,LSO,True
82,1990,14,LBR,True
85,1990,8,MDG,True
86,1990,13,MWI,True
87,1990,9,MYS,True
88,1990,11,MDV,True
89,1990,11,MLI,True
91,1990,13,MRT,True
92,1990,4,MUS,True
93,1990,8,MEX,True
94,1990,8,MNG,True
95,1990,8,MAR,True
96,1990,12,MOZ,True
97,1990,14,MMR,True
98,1990,5,NAM,True
100,1990,8,NPL,True
103,1990,6,NIC,True
104,1990,11,NER,True
105,1990,10,NGA,True
109,1990,8,PAK,True
110,1990,6,PAN,True
111,1990,5,PNG,True
112,1990,7,PRY,True
113,1990,7,PER,True
114,1990,6,PHL,True
115,1990,4,POL,True
118,1990,11,ROU,True
119,1990,12,RWA,True
120,1990,4,WSM,True
122,1990,13,SAU,True
123,1990,7,SEN,True
124,1990,12,SYC,True
125,1990,11,SLE,True
127,1990,2,SLB,True
129,1990,9,ZAF,True
132,1990,9,LKA,True
133,1990,2,KNA,True
134,1990,3,LCA,True
135,1990,3,VCT,True
136,1990,14,SDN,True
137,1990,10,SUR,True
142,1990,11,TZA,True
143,1990,5,THA,True
144,1990,4,GMB,True
145,1990,12,TGO,True
146,1990,6,TON,True
148,1990,9,TUN,True
150,1990,2,TUV,True
151,1990,11,UGA,True
157,1990,5,VUT,True
159,1990,14,VNM,True
162,1990,11,ZMB,True
163,1990,10,ZWE,True
164,1991,14,AFG,True
165,1991,8,ALB,True
166,1991,8,DZA,True
167,1991,10,AGO,True
168,1991,6,ATG,True
169,1991,4,ARG,True
170,1991,10,ARM,True
173,1991,10,AZE,True
176,1991,5,BGD,True
177,1991,2,BRB,True
180,1991,2,BLZ,True
181,1991,5,BEN,True
182,1991,11,BTN,True
183,1991,5,BOL,True
184,1991,3,BWA,True
185,1991,5,BRA,True
187,1991,5,BGR,True
188,1991,11,BFA,True
189,1991,13,BDI,True
190,1991,5,CPV,True
191,1991,12,KHM,True
192,1991,12,CMR,True
196,1991,4,CHL,True
197,1991,14,CHN,True
198,1991,6,COL,True
199,1991,7,COM,True
200,1991,10,COD,True
202,1991,2,CRI,True
203,1991,10,CIV,True
204,1991,7,HRV,True
205,1991,14,CUB,True
209,1991,11,DJI,True
210,1991,3,DMA,True
211,1991,5,DOM,True
212,1991,5,ECU,True
213,1991,10,EGY,True
214,1991,7,SLV,True
217,1991,11,SWZ,True
218,1991,11,ETH,True
219,1991,10,FJI,True
222,1991,7,GAB,True
223,1991,11,GEO,True
225,1991,12,GHA,True
227,1991,3,GRD,True
228,1991,8,GTM,True
229,1991,11,GIN,True
230,1991,11,GNB,True
231,1991,9,GUY,True
232,1991,14,HTI,True
233,1991,5,HND,True
236,1991,7,IND,True
237,1991,11,IDN,True
238,1991,11,IRN,True
239,1991,14,IRQ,True
243,1991,4,JAM,True
245,1991,8,JOR,True
246,1991,9,KAZ,True
247,1991,12,KEN,True
248,1991,3,KIR,True
250,1991,9,KGZ,True
251,1991,13,LAO,True
253,1991,10,LBN,True
254,1991,10,LSO,True
255,1991,13,LBR,True
259,1991,8,MDG,True
260,1991,13,MWI,True
261,1991,9,MYS,True
262,1991,11,MDV,True
263,1991,10,MLI,True
265,1991,2,MHL,True
266,1991,13,MRT,True
267,1991,3,MUS,True
268,1991,8,MEX,True
269,1991,2,FSM,True
270,1991,9,MDA,True
271,1991,5,MNG,True
272,1991,10,MAR,True
273,1991,10,MOZ,True
274,1991,14,MMR,True
275,1991,5,NAM,True
277,1991,5,NPL,True
280,1991,6,NIC,True
281,1991,11,NER,True
282,1991,9,NGA,True
286,1991,9,PAK,True
287,1991,6,PAN,True
288,1991,5,PNG,True
289,1991,6,PRY,True
290,1991,8,PER,True
291,1991,6,PHL,True
292,1991,4,POL,True
295,1991,10,ROU,True
297,1991,12,RWA,True
298,1991,4,WSM,True
300,1991,13,SAU,True
301,1991,7,SEN,True
302,1991,12,SYC,True
303,1991,11,SLE,True
306,1991,2,SLB,True
308,1991,9,ZAF,True
311,1991,9,LKA,True
312,1991,2,KNA,True
313,1991,3,LCA,True
314,1991,3,VCT,True
315,1991,14,SDN,True
316,1991,8,SUR,True
321,1991,10,TJK,True
322,1991,11,TZA,True
323,1991,10,THA,True
324,1991,4,GMB,True
325,1991,11,TGO,True
326,1991,6,TON,True
328,1991,10,TUN,True
331,1991,2,TUV,True
332,1991,12,UGA,True
333,1991,6,UKR,True
338,1991,11,UZB,True
339,1991,5,VUT,True
341,1991,14,VNM,True
344,1991,5,ZMB,True
345,1991,9,ZWE,True
346,1992,12,AFG,True
347,1992,7,ALB,True
348,1992,13,DZA,True
349,1992,12,AGO,True
350,1992,6,ATG,True
351,1992,5,ARG,True
352,1992,7,ARM,True
355,1992,10,AZE,True
358,1992,5,BGD,True
359,1992,2,BRB,True
362,1992,2,BLZ,True
363,1992,5,BEN,True
364,1992,13,BTN,True
365,1992,5,BOL,True
366,1992,12,BIH,True
367,1992,3,BWA,True
368,1992,5,BRA,True
370,1992,5,BGR,True
371,1992,10,BFA,True
372,1992,11,BDI,True
373,1992,3,CPV,True
374,1992,12,KHM,True
375,1992,11,CMR,True
379,1992,4,CHL,True
380,1992,14,CHN,True
381,1992,6,COL,True
382,1992,6,COM,True
383,1992,6,COD,True
385,1992,2,CRI,True
386,1992,10,CIV,True
387,1992,8,HRV,True
388,1992,14,CUB,True
392,1992,12,DJI,True
393,1992,3,DMA,True
394,1992,5,DOM,True
395,1992,5,ECU,True
396,1992,11,EGY,True
397,1992,6,SLV,True
400,1992,11,SWZ,True
401,1992,10,ETH,True
402,1992,7,FJI,True
405,1992,8,GAB,True
406,1992,9,GEO,True
408,1992,10,GHA,True
410,1992,3,GRD,True
411,1992,9,GTM,True
412,1992,11,GIN,True
413,1992,11,GNB,True
414,1992,6,GUY,True
415,1992,14,HTI,True
416,1992,5,HND,True
419,1992,7,IND,True
420,1992,11,IDN,True
421,1992,12,IRN,True
422,1992,14,IRQ,True
426,1992,4,JAM,True
428,1992,6,JOR,True
429,1992,10,KAZ,True
430,1992,9,KEN,True
431,1992,3,KIR,True
433,1992,6,KGZ,True
434,1992,13,LAO,True
436,1992,9,LBN,True
437,1992,10,LSO,True
438,1992,13,LBR,True
443,1992,8,MDG,True
444,1992,13,MWI,True
445,1992,9,MYS,True
446,1992,11,MDV,True
447,1992,5,MLI,True
449,1992,2,MHL,True
450,1992,13,MRT,True
451,1992,4,MUS,True
452,1992,7,MEX,True
453,1992,2,FSM,True
454,1992,10,MDA,True
455,1992,5,MNG,True
456,1992,11,MAR,True
457,1992,10,MOZ,True
458,1992,14,MMR,True
459,1992,4,NAM,True
461,1992,5,NPL,True
464,1992,7,NIC,True
465,1992,9,NER,True
466,1992,9,NGA,True
468,1992,7,MKD,True
471,1992,9,PAK,True
472,1992,7,PAN,True
473,1992,5,PNG,True
474,1992,6,PRY,True
475,1992,11,PER,True
476,1992,6,PHL,True
477,1992,4,POL,True
480,1992,8,ROU,True
482,1992,11,RWA,True
483,1992,4,WSM,True
486,1992,14,SAU,True
487,1992,7,SEN,True
488,1992,10,SYC,True
489,1992,13,SLE,True
492,1992,2,SLB,True
494,1992,9,ZAF,True
497,1992,9,LKA,True
498,1992,2,KNA,True
499,1992,3,LCA,True
500,1992,3,VCT,True
501,1992,14,SDN,True
502,1992,6,SUR,True
507,1992,12,TJK,True
508,1992,11,TZA,True
509,1992,7,THA,True
510,1992,3,GMB,True
511,1992,11,TGO,True
512,1992,6,TON,True
514,1992,11,TUN,True
517,1992,2,TUV,True
518,1992,11,UGA,True
519,1992,6,UKR,True
524,1992,12,UZB,True
525,1992,5,VUT,True
527,1992,14,VNM,True
530,1992,5,ZMB,True
531,1992,9,ZWE,True
532,1993,14,AFG,True
533,1993,6,ALB,True
534,1993,13,DZA,True
536,1993,14,AGO,True
537,1993,7,ATG,True
538,1993,5,ARG,True
539,1993,7,ARM,True
542,1993,12,AZE,True
545,1993,6,BGD,True
546,1993,2,BRB,True
549,1993,2,BLZ,True
550,1993,5,BEN,True
551,1993,14,BTN,True
552,1993,5,BOL,True
553,1993,12,BIH,True
554,1993,5,BWA,True
555,1993,7,BRA,True
557,1993,4,BGR,True
558,1993,9,BFA,True
559,1993,14,BDI,True
560,1993,3,CPV,True
561,1993,9,KHM,True
562,1993,11,CMR,True
566,1993,4,CHL,True
567,1993,14,CHN,True
568,1993,6,COL,True
569,1993,8,COM,True
570,1993,6,COD,True
572,1993,3,CRI,True
573,1993,11,CIV,True
574,1993,8,HRV,True
575,1993,14,CUB,True
579,1993,12,DJI,True
580,1993,3,DMA,True
581,1993,6,DOM,True
582,1993,5,ECU,True
583,1993,12,EGY,True
584,1993,6,SLV,True
586,1993,11,ERI,True
588,1993,11,SWZ,True
589,1993,11,ETH,True
590,1993,7,FJI,True
593,1993,9,GAB,True
594,1993,10,GEO,True
596,1993,9,GHA,True
598,1993,3,GRD,True
599,1993,9,GTM,True
600,1993,11,GIN,True
601,1993,11,GNB,True
602,1993,4,GUY,True
603,1993,14,HTI,True
604,1993,6,HND,True
607,1993,8,IND,True
608,1993,13,IDN,True
609,1993,13,IRN,True
610,1993,14,IRQ,True
614,1993,5,JAM,True
616,1993,8,JOR,True
617,1993,10,KAZ,True
618,1993,11,KEN,True
619,1993,2,KIR,True
621,1993,8,KGZ,True
622,1993,13,LAO,True
624,1993,11,LBN,True
625,1993,7,LSO,True
626,1993,12,LBR,True
631,1993,6,MDG,True
632,1993,11,MWI,True
633,1993,9,MYS,True
634,1993,12,MDV,True
635,1993,5,MLI,True
637,1993,2,MHL,True
638,1993,13,MRT,True
639,1993,3,MUS,True
640,1993,8,MEX,True
641,1993,2,FSM,True
642,1993,10,MDA,True
644,1993,5,MNG,True
645,1993,10,MAR,True
646,1993,11,MOZ,True
647,1993,14,MMR,True
648,1993,5,NAM,True
650,1993,7,NPL,True
653,1993,9,NIC,True
654,1993,7,NER,True
655,1993,12,NGA,True
657,1993,6,MKD,True
660,1993,8,PAK,True
661,1993,6,PAN,True
662,1993,6,PNG,True
663,1993,6,PRY,True
664,1993,10,PER,True
665,1993,7,PHL,True
666,1993,4,POL,True
669,1993,8,ROU,True
671,1993,11,RWA,True
672,1993,4,WSM,True
675,1993,14,SAU,True
676,1993,9,SEN,True
677,1993,7,SYC,True
678,1993,13,SLE,True
680,1993,7,SVK,True
682,1993,3,SLB,True
684,1993,9,ZAF,True
687,1993,9,LKA,True
688,1993,2,KNA,True
689,1993,3,LCA,True
690,1993,2,VCT,True
691,1993,14,SDN,True
692,1993,6,SUR,True
697,1993,14,TJK,True
698,1993,11,TZA,True
699,1993,8,THA,True
700,1993,4,GMB,True
701,1993,12,TGO,True
702,1993,8,TON,True
704,1993,11,TUN,True
707,1993,2,TUV,True
708,1993,11,UGA,True
709,1993,8,UKR,True
714,1993,14,UZB,True
715,1993,3,VUT,True
717,1993,14,VNM,True
720,1993,7,ZMB,True
721,1993,10,ZWE,True
722,1994,14,AFG,True
723,1994,7,ALB,True
724,1994,14,DZA,True
726,1994,14,AGO,True
727,1994,7,ATG,True
728,1994,5,ARG,True
729,1994,7,ARM,True
732,1994,12,AZE,True
735,1994,6,BGD,True
736,1994,2,BRB,True
739,1994,2,BLZ,True
740,1994,5,BEN,True
741,1994,14,BTN,True
742,1994,5,BOL,True
743,1994,12,BIH,True
744,1994,5,BWA,True
745,1994,6,BRA,True
747,1994,4,BGR,True
748,1994,9,BFA,True
749,1994,13,BDI,True
750,1994,3,CPV,True
751,1994,9,KHM,True
752,1994,11,CMR,True
756,1994,4,CHL,True
757,1994,14,CHN,True
758,1994,7,COL,True
759,1994,8,COM,True
760,1994,8,COD,True
762,1994,3,CRI,True
763,1994,11,CIV,True
764,1994,8,HRV,True
765,1994,14,CUB,True
769,1994,12,DJI,True
770,1994,3,DMA,True
771,1994,7,DOM,True
772,1994,5,ECU,True
773,1994,12,EGY,True
774,1994,6,SLV,True
776,1994,11,ERI,True
778,1994,11,SWZ,True
779,1994,11,ETH,True
780,1994,7,FJI,True
783,1994,9,GAB,True
784,1994,10,GEO,True
786,1994,9,GHA,True
788,1994,3,GRD,True
789,1994,9,GTM,True
790,1994,11,GIN,True
791,1994,7,GNB,True
792,1994,4,GUY,True
793,1994,10,HTI,True
794,1994,6,HND,True
797,1994,8,IND,True
798,1994,13,IDN,True
799,1994,13,IRN,True
800,1994,14,IRQ,True
804,1994,5,JAM,True
806,1994,8,JOR,True
807,1994,11,KAZ,True
808,1994,12,KEN,True
809,1994,2,KIR,True
811,1994,7,KGZ,True
812,1994,13,LAO,True
814,1994,11,LBN,True
815,1994,8,LSO,True
816,1994,13,LBR,True
821,1994,6,MDG,True
822,1994,5,MWI,True
823,1994,9,MYS,True
824,1994,12,MDV,True
825,1994,6,MLI,True
827,1994,2,MHL,True
828,1994,14,MRT,True
829,1994,3,MUS,True
830,1994,8,MEX,True
831,1994,2,FSM,True
832,1994,8,MDA,True
834,1994,5,MNG,True
835,1994,10,MAR,True
836,1994,8,MOZ,True
837,1994,14,MMR,True
838,1994,5,NAM,True
840,1994,7,NPL,True
843,1994,9,NIC,True
844,1994,8,NER,True
845,1994,13,NGA,True
847,1994,7,MKD,True
850,1994,8,PAK,True
851,1994,3,PLW,True
852,1994,5,PAN,True
853,1994,6,PNG,True
854,1994,7,PRY,True
855,1994,9,PER,True
856,1994,7,PHL,True
857,1994,4,POL,True
860,1994,7,ROU,True
862,1994,14,RWA,True
863,1994,4,WSM,True
866,1994,14,SAU,True
867,1994,9,SEN,True
868,1994,7,SYC,True
869,1994,13,SLE,True
871,1994,5,SVK,True
873,1994,3,SLB,True
875,1994,5,ZAF,True
878,1994,9,LKA,True
879,1994,4,KNA,True
880,1994,3,LCA,True
881,1994,3,VCT,True
882,1994,14,SDN,True
883,1994,6,SUR,True
888,1994,14,TJK,True
889,1994,12,TZA,True
890,1994,8,THA,True
891,1994,13,GMB,True
892,1994,11,TGO,True
893,1994,8,TON,True
895,1994,11,TUN,True
898,1994,2,TUV,True
899,1994,10,UGA,True
900,1994,7,UKR,True
905,1994,14,UZB,True
906,1994,4,VUT,True
908,1994,14,VNM,True
911,1994,7,ZMB,True
912,1994,10,ZWE,True
913,1995,14,AFG,True
914,1995,7,ALB,True
915,1995,12,DZA,True
917,1995,12,AGO,True
918,1995,7,ATG,True
919,1995,5,ARG,True
920,1995,8,ARM,True
923,1995,12,AZE,True
926,1995,7,BGD,True
927,1995,2,BRB,True
930,1995,2,BLZ,True
931,1995,4,BEN,True
932,1995,14,BTN,True
933,1995,6,BOL,True
934,1995,12,BIH,True
935,1995,4,BWA,True
936,1995,6,BRA,True
938,1995,4,BGR,True
939,1995,9,BFA,True
940,1995,13,BDI,True
941,1995,3,CPV,True
942,1995,12,KHM,True
943,1995,12,CMR,True
947,1995,4,CHL,True
948,1995,14,CHN,True
949,1995,8,COL,True
950,1995,8,COM,True
951,1995,8,COD,True
953,1995,3,CRI,True
954,1995,11,CIV,True
955,1995,8,HRV,True
956,1995,14,CUB,True
960,1995,11,DJI,True
961,1995,2,DMA,True
962,1995,7,DOM,True
963,1995,5,ECU,True
964,1995,12,EGY,True
965,1995,6,SLV,True
967,1995,10,ERI,True
969,1995,11,SWZ,True
970,1995,9,ETH,True
971,1995,7,FJI,True
974,1995,9,GAB,True
975,1995,9,GEO,True
977,1995,8,GHA,True
979,1995,3,GRD,True
980,1995,9,GTM,True
981,1995,11,GIN,True
982,1995,7,GNB,True
983,1995,4,GUY,True
984,1995,10,HTI,True
985,1995,6,HND,True
988,1995,8,IND,True
989,1995,13,IDN,True
990,1995,13,IRN,True
991,1995,14,IRQ,True
995,1995,5,JAM,True
997,1995,8,JOR,True
998,1995,11,KAZ,True
999,1995,13,KEN,True
1000,1995,2,KIR,True
1002,1995,8,KGZ,True
1003,1995,13,LAO,True
1005,1995,11,LBN,True
1006,1995,8,LSO,True
1007,1995,13,LBR,True
1012,1995,6,MDG,True
1013,1995,5,MWI,True
1014,1995,9,MYS,True
1015,1995,12,MDV,True
1016,1995,5,MLI,True
1018,1995,2,MHL,True
1019,1995,12,MRT,True
1020,1995,3,MUS,True
1021,1995,8,MEX,True
1022,1995,2,FSM,True
1023,1995,8,MDA,True
1025,1995,5,MNG,True
1026,1995,10,MAR,True
1027,1995,7,MOZ,True
1028,1995,14,MMR,True
1029,1995,5,NAM,True
1031,1995,7,NPL,True
1034,1995,8,NIC,True
1035,1995,8,NER,True
1036,1995,14,NGA,True
1038,1995,7,MKD,True
1041,1995,8,PAK,True
1042,1995,3,PLW,True
1043,1995,5,PAN,True
1044,1995,6,PNG,True
1045,1995,7,PRY,True
1046,1995,9,PER,True
1047,1995,6,PHL,True
1048,1995,3,POL,True
1051,1995,7,ROU,True
1053,1995,13,RWA,True
1054,1995,4,WSM,True
1057,1995,14,SAU,True
1058,1995,9,SEN,True
1059,1995,6,SYC,True
1060,1995,13,SLE,True
1062,1995,5,SVK,True
1064,1995,3,SLB,True
1066,1995,3,ZAF,True
1069,1995,9,LKA,True
1070,1995,3,KNA,True
1071,1995,3,LCA,True
1072,1995,3,VCT,True
1073,1995,14,SDN,True
1074,1995,6,SUR,True
1079,1995,14,TJK,True
1080,1995,10,TZA,True
1081,1995,7,THA,True
1082,1995,13,GMB,True
1083,1995,11,TGO,True
1084,1995,8,TON,True
1086,1995,11,TUN,True
1089,1995,2,TUV,True
1090,1995,9,UGA,True
1091,1995,7,UKR,True
1096,1995,14,UZB,True
1097,1995,4,VUT,True
1099,1995,14,VNM,True
1102,1995,7,ZMB,True
1103,1995,10,ZWE,True
1104,1996,14,AFG,True
1105,1996,8,ALB,True
1106,1996,12,DZA,True
1108,1996,12,AGO,True
1109,1996,7,ATG,True
1110,1996,5,ARG,True
1111,1996,9,ARM,True
1114,1996,11,AZE,True
1117,1996,6,BGD,True
1118,1996,2,BRB,True
1121,1996,2,BLZ,True
1122,1996,4,BEN,True
1123,1996,14,BTN,True
1124,1996,5,BOL,True
1125,1996,10,BIH,True
1126,1996,4,BWA,True
1127,1996,6,BRA,True
1129,1996,5,BGR,True
1130,1996,9,BFA,True
1131,1996,14,BDI,True
1132,1996,3,CPV,True
1133,1996,12,KHM,True
1134,1996,12,CMR,True
1138,1996,4,CHL,True
1139,1996,14,CHN,True
1140,1996,8,COL,True
1141,1996,8,COM,True
1142,1996,8,COD,True
1144,1996,3,CRI,True
1145,1996,11,CIV,True
1146,1996,8,HRV,True
1147,1996,14,CUB,True
1151,1996,11,DJI,True
1152,1996,2,DMA,True
1153,1996,6,DOM,True
1154,1996,6,ECU,True
1155,1996,12,EGY,True
1156,1996,6,SLV,True
1158,1996,10,ERI,True
1160,1996,11,SWZ,True
1161,1996,9,ETH,True
1162,1996,7,FJI,True
1165,1996,9,GAB,True
1166,1996,8,GEO,True
1168,1996,7,GHA,True
1170,1996,3,GRD,True
1171,1996,7,GTM,True
1172,1996,11,GIN,True
1173,1996,7,GNB,True
1174,1996,4,GUY,True
1175,1996,9,HTI,True
1176,1996,6,HND,True
1179,1996,6,IND,True
1180,1996,12,IDN,True
1181,1996,13,IRN,True
1182,1996,14,IRQ,True
1186,1996,5,JAM,True
1188,1996,8,JOR,True
1189,1996,11,KAZ,True
1190,1996,13,KEN,True
1191,1996,2,KIR,True
1193,1996,8,KGZ,True
1194,1996,13,LAO,True
1196,1996,11,LBN,True
1197,1996,8,LSO,True
1198,1996,13,LBR,True
1203,1996,6,MDG,True
1204,1996,5,MWI,True
1205,1996,9,MYS,True
1206,1996,12,MDV,True
1207,1996,4,MLI,True
1209,1996,2,MHL,True
1210,1996,12,MRT,True
1211,1996,3,MUS,True
1212,1996,7,MEX,True
1213,1996,2,FSM,True
1214,1996,7,MDA,True
1216,1996,5,MNG,True
1217,1996,10,MAR,True
1218,1996,7,MOZ,True
1219,1996,14,MMR,True
1220,1996,5,NAM,True
1222,1996,7,NPL,True
1225,1996,6,NIC,True
1226,1996,12,NER,True
1227,1996,13,NGA,True
1229,1996,7,MKD,True
1232,1996,9,PAK,True
1233,1996,3,PLW,True
1234,1996,5,PAN,True
1235,1996,6,PNG,True
1236,1996,7,PRY,True
1237,1996,7,PER,True
1238,1996,5,PHL,True
1239,1996,3,POL,True
1242,1996,5,ROU,True
1244,1996,13,RWA,True
1245,1996,4,WSM,True
1248,1996,14,SAU,True
1249,1996,8,SEN,True
1250,1996,6,SYC,True
1251,1996,9,SLE,True
1253,1996,6,SVK,True
1255,1996,3,SLB,True
1257,1996,3,ZAF,True
1260,1996,8,LKA,True
1261,1996,3,KNA,True
1262,1996,3,LCA,True
1263,1996,3,VCT,True
1264,1996,14,SDN,True
1265,1996,6,SUR,True
1270,1996,14,TJK,True
1271,1996,10,TZA,True
1272,1996,6,THA,True
1273,1996,13,GMB,True
1274,1996,11,TGO,True
1275,1996,8,TON,True
1277,1996,11,TUN,True
1280,1996,2,TUV,True
1281,1996,8,UGA,True
1282,1996,7,UKR,True
1287,1996,13,UZB,True
1288,1996,4,VUT,True
1290,1996,14,VNM,True
1293,1996,9,ZMB,True
1294,1996,10,ZWE,True
1295,1997,14,AFG,True
1296,1997,8,ALB,True
1297,1997,12,DZA,True
1299,1997,12,AGO,True
1300,1997,7,ATG,True
1301,1997,5,ARG,True
1302,1997,9,ARM,True
1305,1997,10,AZE,True
1308,1997,6,BGD,True
1309,1997,2,BRB,True
1312,1997,2,BLZ,True
1313,1997,4,BEN,True
1314,1997,14,BTN,True
1315,1997,4,BOL,True
1316,1997,10,BIH,True
1317,1997,4,BWA,True
1318,1997,7,BRA,True
1320,1997,5,BGR,True
1321,1997,9,BFA,True
1322,1997,14,BDI,True
1323,1997,3,CPV,True
1324,1997,13,KHM,True
1325,1997,12,CMR,True
1329,1997,4,CHL,True
1330,1997,14,CHN,True
1331,1997,8,COL,True
1332,1997,9,COM,True
1333,1997,12,COD,True
1335,1997,3,CRI,True
1336,1997,10,CIV,True
1337,1997,8,HRV,True
1338,1997,14,CUB,True
1342,1997,11,DJI,True
1343,1997,2,DMA,True
1344,1997,6,DOM,True
1345,1997,6,ECU,True
1346,1997,12,EGY,True
1347,1997,5,SLV,True
1349,1997,10,ERI,True
1351,1997,11,SWZ,True
1352,1997,9,ETH,True
1353,1997,7,FJI,True
1356,1997,9,GAB,True
1357,1997,7,GEO,True
1359,1997,6,GHA,True
1361,1997,3,GRD,True
1362,1997,7,GTM,True
1363,1997,11,GIN,True
1364,1997,7,GNB,True
1365,1997,4,GUY,True
1366,1997,9,HTI,True
1367,1997,5,HND,True
1370,1997,6,IND,True
1371,1997,12,IDN,True
1372,1997,13,IRN,True
1373,1997,14,IRQ,True
1377,1997,5,JAM,True
1379,1997,8,JOR,True
1380,1997,11,KAZ,True
1381,1997,12,KEN,True
1382,1997,2,KIR,True
1384,1997,8,KGZ,True
1385,1997,13,LAO,True
